,0,1,2,3,4,5,6
F3,"{2176.0, 2208.0, 1954.0, 1731.0, 2181.0, 2250.0, 2251.0, 2192.0, 1874.0, 2259.0, 1878.0, 2205.0, 2206.0, 1663.0}","{2176.0, 1954.0, 1731.0, 1413.0, 2181.0, 2250.0, 1931.0, 2251.0, 2095.0, 2192.0, 2259.0, 1749.0, 2175.0, 1439.0}","{2176.0, 1954.0, 1731.0, 2181.0, 2250.0, 2251.0, 2192.0, 2259.0}","{2176.0, 1413.0, 2181.0, 1931.0, 2192.0, 2205.0, 2206.0, 1439.0, 2208.0, 1954.0, 2095.0, 2175.0, 1731.0, 2250.0, 2251.0, 1874.0, 2259.0, 1749.0, 1878.0, 1663.0}",8,20,0.4
BF4,"{1416.0, 1551.0, 1552.0, 1555.0, 1556.0, 1557.0, 1558.0, 1942.0, 1560.0, 1565.0, 1566.0, 1835.0, 1725.0, 1733.0, 2120.0, 2128.0, 2005.0, 2264.0, 2139.0, 2014.0, 2025.0, 1898.0, 1791.0}","{1926.0, 1416.0, 1551.0, 1552.0, 1555.0, 1556.0, 1557.0, 1558.0, 2070.0, 1560.0, 1565.0, 1566.0, 2090.0, 1835.0, 1836.0, 2224.0, 1725.0, 1733.0, 2254.0, 2128.0, 2005.0, 2264.0, 2139.0, 2014.0, 1895.0, 2025.0, 1898.0, 1644.0, 1791.0}","{1416.0, 1551.0, 1552.0, 1555.0, 1556.0, 1557.0, 1558.0, 1560.0, 1565.0, 1566.0, 1835.0, 1725.0, 1733.0, 2128.0, 2005.0, 2264.0, 2139.0, 2014.0, 2025.0, 1898.0, 1791.0}","{1926.0, 1416.0, 1551.0, 1552.0, 1555.0, 1556.0, 1557.0, 1558.0, 2070.0, 1560.0, 1942.0, 1565.0, 1566.0, 2090.0, 1835.0, 1836.0, 2224.0, 1725.0, 1733.0, 2120.0, 2254.0, 2128.0, 2005.0, 2264.0, 2139.0, 2014.0, 1895.0, 2025.0, 1898.0, 1644.0, 1791.0}",21,31,0.6774193548387096
D1c,"{2113.0, 2114.0, 1578.0, 1899.0, 1900.0, 1996.0, 1772.0, 1997.0, 2104.0, 2207.0}","{1803.0, 1806.0, 1552.0, 1425.0, 1429.0, 1687.0, 1688.0, 2207.0, 1578.0, 2220.0, 1587.0, 2228.0, 2143.0, 1632.0, 1639.0, 1640.0, 1899.0, 1772.0, 1773.0, 1900.0}","{1578.0, 1899.0, 1900.0, 1772.0, 2207.0}","{1803.0, 1806.0, 1552.0, 1425.0, 1429.0, 1687.0, 1688.0, 2207.0, 1578.0, 2220.0, 1587.0, 2228.0, 2104.0, 2113.0, 2114.0, 1996.0, 1997.0, 2143.0, 1632.0, 1639.0, 1640.0, 1899.0, 1772.0, 1773.0, 1900.0}",5,25,0.2
K2,"{1427.0, 1430.0, 1432.0, 1571.0, 1583.0, 1584.0, 1968.0, 1845.0, 2230.0, 2231.0, 1849.0, 1744.0, 2270.0, 2030.0, 2031.0, 2163.0, 2037.0, 2168.0, 2170.0, 2171.0, 2172.0, 2173.0, 2174.0}","{1571.0, 2030.0, 1583.0, 1584.0, 1968.0, 2031.0, 1427.0, 2163.0, 2037.0, 1430.0, 2172.0, 1432.0, 2231.0, 2170.0, 2171.0, 2168.0, 2173.0, 2174.0}","{1571.0, 2168.0, 2030.0, 1583.0, 1584.0, 1968.0, 2031.0, 1427.0, 2163.0, 2037.0, 1430.0, 2231.0, 1432.0, 2170.0, 2171.0, 2172.0, 2173.0, 2174.0}","{1427.0, 1430.0, 1432.0, 1571.0, 1583.0, 1584.0, 1968.0, 1845.0, 2230.0, 2231.0, 1849.0, 1744.0, 2270.0, 2030.0, 2031.0, 2163.0, 2037.0, 2168.0, 2170.0, 2171.0, 2172.0, 2173.0, 2174.0}",18,23,0.782608695652174
P1,"{1907.0, 1899.0, 1431.0}","{1907.0, 1899.0, 1431.0}","{1899.0, 1907.0, 1431.0}","{1907.0, 1899.0, 1431.0}",3,3,1.0
D1,"{1803.0, 1806.0, 1551.0, 2063.0, 1425.0, 2064.0, 1555.0, 1429.0, 1687.0, 1688.0, 1431.0, 1560.0, 2071.0, 2072.0, 1565.0, 1566.0, 2082.0, 1704.0, 2219.0, 1836.0, 2220.0, 2098.0, 2100.0, 2228.0, 1729.0, 1730.0, 1612.0, 1997.0, 1631.0, 1632.0, 2143.0, 2144.0, 2146.0, 2147.0, 1639.0, 2152.0, 1897.0, 1643.0, 1644.0, 1773.0, 1907.0, 2163.0, 2164.0, 2168.0, 2170.0, 2171.0, 2172.0, 2046.0}","{1547.0, 1548.0, 2063.0, 2064.0, 1431.0, 2071.0, 2082.0, 1703.0, 2219.0, 2098.0, 2100.0, 2104.0, 1595.0, 1729.0, 2113.0, 2114.0, 1739.0, 1612.0, 1996.0, 1997.0, 2144.0, 1889.0, 2146.0, 2147.0, 1640.0, 1897.0, 1642.0, 2152.0, 1902.0, 1906.0, 1907.0, 2170.0, 2171.0, 2172.0, 2173.0, 2046.0}","{2063.0, 2064.0, 2071.0, 1431.0, 2082.0, 2219.0, 2098.0, 2100.0, 1729.0, 1612.0, 1997.0, 2144.0, 2146.0, 2147.0, 2152.0, 1897.0, 1907.0, 2170.0, 2171.0, 2172.0, 2046.0}","{1547.0, 1548.0, 1803.0, 1806.0, 2063.0, 2064.0, 1425.0, 1551.0, 1555.0, 1429.0, 1431.0, 2071.0, 1560.0, 1687.0, 1688.0, 2072.0, 1565.0, 1566.0, 2082.0, 1703.0, 1704.0, 2219.0, 1836.0, 2220.0, 2098.0, 2100.0, 2228.0, 2104.0, 1595.0, 1729.0, 2113.0, 2114.0, 1730.0, 1739.0, 1612.0, 1996.0, 1997.0, 1631.0, 2144.0, 1889.0, 2146.0, 2147.0, 1632.0, 2143.0, 1639.0, 1640.0, 1897.0, 1642.0, 2152.0, 1643.0, 1644.0, 1902.0, 1773.0, 1906.0, 1907.0, 2163.0, 2164.0, 2168.0, 2170.0, 2171.0, 2172.0, 2173.0, 2046.0}",21,63,0.3333333333333333
O1,"{1432.0, 1913.0, 1568.0, 1413.0}","{1432.0, 1913.0}","{1432.0, 1913.0}","{1432.0, 1913.0, 1568.0, 1413.0}",2,4,0.5
CM4,"{1889.0, 1859.0, 1573.0, 1439.0}","{1888.0, 1859.0, 1884.0, 1439.0}","{1859.0, 1439.0}","{1888.0, 1889.0, 1859.0, 1573.0, 1884.0, 1439.0}",2,6,0.3333333333333333
BN1,"{1677.0, 1678.0, 1573.0, 1454.0, 1970.0, 2227.0, 2230.0, 2231.0, 2232.0, 1985.0, 1987.0, 2245.0, 1608.0, 2248.0, 2127.0, 2139.0, 1628.0, 1629.0, 1634.0, 1635.0, 1511.0, 1768.0, 2025.0, 1772.0, 1773.0, 1653.0, 1657.0, 1661.0, 1662.0}","{1677.0, 1678.0, 1573.0, 1454.0, 1970.0, 2230.0, 2231.0, 2232.0, 1985.0, 1731.0, 1987.0, 2245.0, 1608.0, 2248.0, 2139.0, 1628.0, 1629.0, 1634.0, 1635.0, 1637.0, 1767.0, 1768.0, 2025.0, 1642.0, 1772.0, 1773.0, 1653.0, 1657.0, 1662.0, 1791.0}","{1677.0, 1678.0, 1573.0, 1454.0, 1970.0, 2230.0, 2231.0, 2232.0, 1985.0, 1987.0, 2245.0, 1608.0, 2248.0, 2139.0, 1628.0, 1629.0, 1634.0, 1635.0, 1768.0, 2025.0, 1772.0, 1773.0, 1653.0, 1657.0, 1662.0}","{1677.0, 1678.0, 1573.0, 1454.0, 1970.0, 2227.0, 2230.0, 2231.0, 2232.0, 1985.0, 1731.0, 1987.0, 2245.0, 1608.0, 2248.0, 2127.0, 2139.0, 1628.0, 1629.0, 1634.0, 1635.0, 1637.0, 1767.0, 1768.0, 2025.0, 1642.0, 1511.0, 1772.0, 1773.0, 1653.0, 1657.0, 1661.0, 1662.0, 1791.0}",25,34,0.7352941176470589
BL3,"{1504.0, 1795.0, 1478.0, 1611.0, 1484.0, 1775.0, 1776.0, 2077.0, 2227.0, 1493.0, 1910.0, 1912.0, 1466.0, 1821.0, 2079.0}","{1795.0, 1611.0, 1485.0, 1775.0, 1776.0, 1490.0, 2227.0, 1910.0, 1912.0, 1466.0, 1821.0}","{1795.0, 1611.0, 1775.0, 1776.0, 2227.0, 1910.0, 1912.0, 1466.0, 1821.0}","{1504.0, 1795.0, 1478.0, 1611.0, 1484.0, 1485.0, 1775.0, 1776.0, 1490.0, 2227.0, 2077.0, 1493.0, 1910.0, 1912.0, 1466.0, 1821.0, 2079.0}",9,17,0.5294117647058824
BL2,"{1793.0, 2051.0, 1801.0, 2057.0, 2058.0, 2066.0, 1948.0, 2210.0, 2217.0, 1836.0, 2092.0, 1593.0, 1594.0, 1596.0, 1732.0, 2248.0, 2251.0, 2127.0, 2140.0, 1779.0, 2175.0}","{2051.0, 1801.0, 2057.0, 2058.0, 2059.0, 1934.0, 2066.0, 2077.0, 2079.0, 1568.0, 2082.0, 2210.0, 2217.0, 2092.0, 1594.0, 1732.0, 1478.0, 2248.0, 2251.0, 1484.0, 1486.0, 2127.0, 1493.0, 2140.0, 1504.0}","{2210.0, 2051.0, 1732.0, 2248.0, 1801.0, 2058.0, 2057.0, 2217.0, 2092.0, 2251.0, 2127.0, 2066.0, 1594.0, 2140.0}","{1793.0, 2051.0, 1801.0, 2057.0, 2058.0, 2059.0, 1934.0, 2066.0, 1948.0, 2077.0, 2079.0, 1568.0, 2082.0, 2210.0, 2217.0, 2092.0, 1836.0, 1593.0, 1594.0, 1596.0, 1732.0, 1478.0, 2248.0, 2251.0, 1484.0, 1486.0, 2127.0, 1493.0, 2140.0, 1504.0, 1779.0, 2175.0}",14,32,0.4375
CE3,"{1944.0, 1690.0, 1947.0, 1693.0, 1709.0, 1714.0, 1504.0, 2150.0, 2152.0, 1778.0, 1651.0, 2163.0, 2037.0, 2164.0, 1911.0, 2168.0, 2170.0, 2171.0, 2172.0, 2173.0, 2174.0}","{1689.0, 2232.0, 1599.0, 1478.0, 1490.0, 1638.0, 2150.0, 2152.0, 1643.0, 2283.0, 2163.0, 2164.0, 2037.0, 1911.0, 2168.0, 2170.0, 2171.0, 2172.0, 2173.0, 2174.0}","{2150.0, 2152.0, 2163.0, 2164.0, 2037.0, 1911.0, 2168.0, 2170.0, 2171.0, 2172.0, 2173.0, 2174.0}","{1944.0, 1689.0, 1690.0, 1947.0, 1693.0, 1709.0, 1714.0, 2232.0, 1599.0, 1478.0, 1490.0, 1504.0, 1638.0, 2150.0, 2152.0, 1643.0, 2283.0, 1778.0, 2163.0, 2164.0, 2037.0, 1651.0, 1911.0, 2168.0, 2170.0, 2171.0, 2172.0, 2173.0, 2174.0}",12,29,0.41379310344827586
CF5,"{1600.0, 1479.0, 1895.0, 2090.0, 1931.0, 1996.0, 1486.0, 2254.0, 1778.0, 2004.0, 2036.0, 1750.0, 2007.0, 2231.0, 1754.0, 1599.0}","{1504.0, 1600.0, 1479.0, 2090.0, 1486.0, 2004.0, 2036.0, 1750.0, 2007.0, 2231.0, 1599.0}","{1600.0, 1479.0, 2090.0, 1486.0, 2004.0, 2036.0, 1750.0, 2007.0, 2231.0, 1599.0}","{1504.0, 1600.0, 1479.0, 1895.0, 2090.0, 1931.0, 1996.0, 1486.0, 2254.0, 1778.0, 2004.0, 2036.0, 1750.0, 2007.0, 2231.0, 1754.0, 1599.0}",10,17,0.5882352941176471
F1,"{1920.0, 1667.0, 1925.0, 2245.0, 1608.0, 2251.0, 1486.0, 1595.0}","{1920.0, 1667.0, 1925.0, 2251.0, 1644.0, 1486.0, 1879.0, 2206.0}","{1920.0, 1667.0, 1925.0, 2251.0, 1486.0}","{1920.0, 1667.0, 1925.0, 2245.0, 1608.0, 2251.0, 1644.0, 1486.0, 1879.0, 1595.0, 2206.0}",5,11,0.45454545454545453
