,type_Fleiss_kappa
1221,-0.024999999999998135
1182,1.0
296,1.0
823,0.4743589743589738
653,0.6540084388185653
423,1.0
622,1.0
822,0.4743589743589738
1060,-0.024999999999998135
231,1.0
1039,-0.024999999999998135
916,1.0
1107,1.0
893,0.7870129870129872
1403,1.0
1293,1.0
907,1.0
1014,1.0
742,1.0
718,1.0
224,0.36103896103896255
389,0.6403508771929821
966,1.0
560,-0.024999999999998135
639,-0.024999999999998135
733,0.7870129870129872
543,1.0
216,0.6403508771929821
954,1.0
770,1.0
458,-0.024999999999998135
1224,1.0
800,0.4743589743589738
298,1.0
333,0.36103896103896255
1346,1.0
1167,1.0
1280,1.0
1125,1.0
765,1.0
1089,-0.024999999999998135
12,1.0
1180,1.0
862,-0.024999999999998135
1271,1.0
863,0.4743589743589738
921,1.0
418,-0.024999999999998135
1091,1.0
941,0.4743589743589738
908,0.4743589743589738
1023,1.0
305,1.0
985,1.0
1095,1.0
1152,1.0
558,1.0
818,0.6540084388185653
284,1.0
981,0.6403508771929821
390,0.4743589743589738
1267,-0.024999999999998135
1236,-0.024999999999998135
1164,0.7870129870129872
384,1.0
1372,1.0
469,0.7870129870129872
636,0.4743589743589738
1035,1.0
673,-0.03797468354430262
278,1.0
929,1.0
1082,-0.03797468354430262
1294,1.0
110,1.0
700,-0.024999999999998135
681,-0.024999999999998135
1371,-0.024999999999998135
795,0.7870129870129872
938,1.0
1289,0.7870129870129872
830,0.6540084388185653
905,0.6540084388185653
1384,0.6540084388185653
1248,-0.024999999999998135
250,1.0
242,-0.024999999999998135
519,0.6540084388185653
1401,0.7870129870129872
705,1.0
476,1.0
487,1.0
833,0.6403508771929821
88,1.0
763,0.6540084388185653
1364,-0.03797468354430262
799,1.0
1131,1.0
1347,1.0
459,1.0
633,-0.024999999999998135
902,1.0
621,1.0
696,0.6403508771929821
191,1.0
4,1.0
37,0.6540084388185653
41,0.6540084388185653
123,0.4743589743589738
190,0.36103896103896255
209,1.0
230,0.6540084388185653
237,0.6540084388185653
277,-0.024999999999998135
295,1.0
303,1.0
306,1.0
330,1.0
334,0.36103896103896255
346,1.0
362,0.7870129870129872
364,1.0
373,0.4743589743589738
430,0.7870129870129872
431,1.0
437,0.4743589743589738
470,1.0
541,0.6540084388185653
544,-0.03797468354430262
626,-0.07894736842105267
632,-0.05128205128205119
637,-0.024999999999998135
650,1.0
655,1.0
657,-0.05128205128205119
661,0.6540084388185653
670,1.0
677,1.0
678,0.4743589743589738
690,1.0
695,1.0
732,-0.03797468354430262
744,0.4743589743589738
756,0.4743589743589738
779,1.0
804,-0.06493506493506306
811,0.4743589743589738
829,1.0
846,1.0
860,1.0
865,1.0
918,-0.06493506493506306
922,-0.024999999999998135
940,0.36103896103896255
945,0.4743589743589738
947,0.6540084388185653
960,1.0
986,1.0
991,1.0
996,-0.024999999999998135
999,-0.03797468354430262
1002,1.0
1009,1.0
1011,-0.024999999999998135
1036,1.0
1047,0.6540084388185653
1051,-0.1081081081081079
1054,1.0
1056,0.36103896103896255
1061,1.0
1084,-0.06493506493506306
1094,-0.024999999999998135
1097,0.2807017543859652
1106,1.0
1132,-0.024999999999998135
1162,1.0
1187,1.0
1188,1.0
1200,-0.03797468354430262
1211,1.0
1230,1.0
1233,1.0
1252,1.0
1256,1.0
1264,1.0
1265,-0.03797468354430262
1272,1.0
1279,1.0
1284,1.0
1314,0.6540084388185653
1315,1.0
1327,1.0
1335,1.0
1357,1.0
1365,0.4743589743589738
1366,0.4743589743589738
1378,1.0
1379,1.0
1390,1.0
1393,1.0
average,0.6203488271536429
