,type_Fleiss_kappa
831,1.0
833,0.47297297297297247
834,0.6533333333333333
835,1.0
836,1.0
841,1.0
842,0.6533333333333333
843,0.47297297297297247
847,0.6388888888888882
851,1.0
852,1.0
854,1.0
855,-0.026315789473685847
858,1.0
862,0.35890410958904145
863,1.0
865,0.6533333333333333
866,0.6388888888888882
867,0.6533333333333333
868,0.7863013698630135
869,0.7863013698630135
870,1.0
871,0.6388888888888882
874,0.35890410958904145
876,0.35890410958904145
877,-0.026315789473685847
883,0.47297297297297247
886,1.0
887,1.0
892,1.0
893,0.6533333333333333
895,0.8430583501006035
896,1.0
899,1.0
900,0.5291750503018111
908,0.7863013698630135
909,1.0
910,1.0
915,0.8430583501006035
916,1.0
917,-0.026315789473685847
918,1.0
921,-0.05405405405405396
922,-0.026315789473685847
929,1.0
930,1.0
940,1.0
942,0.5291750503018111
943,-0.026315789473685847
945,1.0
946,1.0
947,0.7214285714285712
948,0.7863013698630135
953,0.35890410958904145
954,1.0
964,1.0
965,0.7863013698630135
966,0.8743961352657004
969,1.0
971,0.5291750503018111
972,0.5291750503018111
977,0.47297297297297247
978,0.47297297297297247
979,0.35890410958904145
981,1.0
982,0.8430583501006035
985,-0.05405405405405396
986,-0.05405405405405396
987,1.0
991,0.6231884057971018
992,0.7863013698630135
995,-0.05405405405405396
996,0.5291750503018111
997,0.6388888888888882
998,1.0
999,-0.05405405405405396
1000,-0.026315789473685847
1001,1.0
1005,-0.03999999999999868
1009,1.0
1011,1.0
1012,1.0
1014,-0.05405405405405396
1015,1.0
1016,-0.05405405405405396
1017,0.2777777777777772
1020,1.0
1021,1.0
1022,1.0
1023,1.0
1034,0.6533333333333333
1035,0.6533333333333333
1036,0.6388888888888882
1037,1.0
1038,0.6388888888888882
1039,0.47297297297297247
1042,0.5291750503018111
1043,0.7863013698630135
1044,1.0
1045,0.47297297297297247
1046,1.0
1047,0.6533333333333333
1048,1.0
1049,1.0
1051,1.0
1054,-0.026315789473685847
1055,1.0
1056,1.0
1057,1.0
1059,0.6533333333333333
1060,1.0
1061,0.6533333333333333
1062,1.0
1063,1.0
average,0.7274868397102517
